"quarter","unemployment_rate","months_observed","average_weekly_wage_usd"
1990-01-01,5,3,493
1990-04-01,5,3,488
1990-07-01,5.36666666666667,3,493
1990-10-01,5.1,3,541
1991-01-01,5.5,3,514
1991-04-01,5.6,3,515
1991-07-01,5.96666666666667,3,520
1991-10-01,5.9,3,577
1992-01-01,7,3,543
1992-04-01,7.26666666666667,3,539
1992-07-01,7.63333333333333,3,544
1992-10-01,7.2,3,634
1993-01-01,7.63333333333333,3,541
1993-04-01,7.5,3,557
1993-07-01,7.56666666666667,3,558
1993-10-01,7.06666666666667,3,632
1994-01-01,7.26666666666667,3,557
1994-04-01,6.9,3,555
1994-07-01,6.83333333333333,3,573
1994-10-01,5.9,3,624
1995-01-01,5.9,3,585
1995-04-01,6.06666666666667,3,583
1995-07-01,6.33333333333333,3,582
1995-10-01,5.63333333333333,3,640
1996-01-01,5.83333333333333,3,621
1996-04-01,5.63333333333333,3,605
1996-07-01,5.56666666666667,3,606
1996-10-01,5.23333333333333,3,676
1997-01-01,5.86666666666667,3,649
1997-04-01,5.53333333333333,3,631
1997-07-01,5.43333333333333,3,650
1997-10-01,4.46666666666667,3,723
1998-01-01,4.6,3,692
1998-04-01,4.5,3,665
1998-07-01,4.7,3,670
1998-10-01,4.03333333333333,3,758
1999-01-01,4.4,3,702
1999-04-01,4.86666666666667,3,686
1999-07-01,5.23333333333333,3,701
1999-10-01,4.7,3,786
2000-01-01,4.83333333333333,3,790
2000-04-01,4.36666666666667,3,735
2000-07-01,4.46666666666667,3,751
2000-10-01,3.63333333333333,3,822
2001-01-01,4.03333333333333,3,853
2001-04-01,4.36666666666667,3,770
2001-07-01,5,3,765
2001-10-01,5.06666666666667,3,846
2002-01-01,5.76666666666667,3,828
2002-04-01,6.1,3,774
2002-07-01,6.26666666666667,3,777
2002-10-01,6,3,853
2003-01-01,6.73333333333333,3,825
2003-04-01,7,3,789
2003-07-01,7.1,3,794
2003-10-01,6.33333333333333,3,870
2004-01-01,6.53333333333333,3,860
2004-04-01,6.26666666666667,3,814
2004-07-01,6.16666666666667,3,827
2004-10-01,5.86666666666667,3,933
2005-01-01,5.9,3,906
2005-04-01,5.36666666666667,3,856
2005-07-01,5.73333333333333,3,895
2005-10-01,5.73333333333333,3,968
2006-01-01,5.56666666666667,3,991
2006-04-01,5.23333333333333,3,919
2006-07-01,5.06666666666667,3,912
2006-10-01,4.3,3,1037
2007-01-01,4.5,3,1068
2007-04-01,4.13333333333333,3,979
2007-07-01,4.43333333333333,3,971
2007-10-01,4.1,3,1097
2008-01-01,4.33333333333333,3,1111
2008-04-01,4.33333333333333,3,1021
2008-07-01,5.06666666666667,3,1003
2008-10-01,5.26666666666667,3,1128
2009-01-01,6.3,3,1088
2009-04-01,7.2,3,995
2009-07-01,8.6,3,996
2009-10-01,8.3,3,1135
2010-01-01,8.63333333333333,3,1100
2010-04-01,8.23333333333333,3,1014
2010-07-01,8.4,3,1034
2010-10-01,8.2,3,1172
2011-01-01,8.4,3,1185
2011-04-01,8.23333333333333,3,1063
2011-07-01,8.46666666666667,3,1100
2011-10-01,7.3,3,1173
2012-01-01,7,3,1259
2012-04-01,6.63333333333333,3,1105
2012-07-01,6.66666666666667,3,1097
2012-10-01,6.03333333333333,3,1256
2013-01-01,6.43333333333333,3,1259
2013-04-01,6.16666666666667,3,1132
2013-07-01,6.2,3,1129
2013-10-01,5.53333333333333,3,1247
2014-01-01,5.5,3,1316
2014-04-01,4.96666666666667,3,1168
2014-07-01,5.23333333333333,3,1174
2014-10-01,4.36666666666667,3,1300
2015-01-01,4.53333333333333,3,1363
2015-04-01,4.43333333333333,3,1171
2015-07-01,4.86666666666667,3,1177
2015-10-01,4.7,3,1307
2016-01-01,4.93333333333333,3,1301
2016-04-01,5.06666666666667,3,1172
2016-07-01,5.7,3,1205
2016-10-01,5.26666666666667,3,1248
2017-01-01,5.6,3,1355
2017-04-01,4.93333333333333,3,1173
2017-07-01,5,3,1187
2017-10-01,4.43333333333333,3,1282
2018-01-01,4.73333333333333,3,1406
2018-04-01,4.3,3,1209
2018-07-01,4.36666666666667,3,1211
2018-10-01,3.83333333333333,3,1318
2019-01-01,4.1,3,1452
2019-04-01,3.56666666666667,3,1242
2019-07-01,3.93333333333333,3,1248
2019-10-01,3.53333333333333,3,1348
2020-01-01,4.5,3,1454
2020-04-01,12.5333333333333,3,1289
2020-07-01,9.66666666666667,3,1268
2020-10-01,7.56666666666667,3,1418
2021-01-01,7.46666666666667,3,1422
2021-04-01,6.63333333333333,3,1316
2021-07-01,6.03333333333333,3,1338
2021-10-01,4.76666666666667,3,1497
2022-01-01,4.6,3,1561
2022-04-01,4.03333333333333,3,1386
2022-07-01,4.23333333333333,3,1437
2022-10-01,3.96666666666667,3,1500
2023-01-01,4.43333333333333,3,1711
2023-04-01,4.1,3,1428
2023-07-01,4.46666666666667,3,1443
2023-10-01,3.96666666666667,3,1557
2024-01-01,4.33333333333333,3,1767
2024-04-01,4.16666666666667,3,1485
2024-07-01,4.83333333333333,3,1510
2024-10-01,4.33333333333333,3,1616
2025-01-01,4.4,3,1807
