"model","p","q","P","Q","AICc","AIC","BIC","Ljung_Box_p_value","residual_check_passed","delta_AICc","selected"
"SARMA(2,0)(0,1)[4]",2,0,0,1,39.4178184115014,38.8295831173837,52.2402392530048,0.669740522017112,TRUE,0,TRUE
"SARMA(3,0)(0,1)[4]",3,0,0,1,41.5652945127275,40.7336113444106,56.826398707156,0.594809285771287,TRUE,2.1474761012261,FALSE
"SARMA(2,1)(0,1)[4]",2,1,0,1,42.311343879715,41.4796607113981,57.5724480741435,0.477824520424215,TRUE,2.8935254682136,FALSE
"SARMA(1,3)(0,0)[4]",1,3,0,0,44.6664244171519,43.8347412488351,59.9275286115804,0.531196129081893,TRUE,5.24860600565055,FALSE
"SARMA(1,2)(0,1)[4]",1,2,0,1,48.5307439917782,47.6990608234614,63.7918481862067,0.0860121840163945,TRUE,9.11292558027683,FALSE
"SARMA(1,1)(0,1)[4]",1,1,0,1,49.9148736593887,49.326638365271,62.7372945008921,0.0131165301996892,FALSE,10.4970552478873,FALSE
"SARMA(1,1)(1,1)[4]",1,1,1,1,51.5655157522094,50.7338325838926,66.8266199466379,0.0213872825520381,FALSE,12.1476973407081,FALSE
"SARMA(2,0)(1,1)[4]",2,0,1,1,60.3115242113504,59.4798410430336,75.5726284057789,0.0333658062987595,FALSE,20.8937057998491,FALSE
"SARMA(2,0)(1,0)[4]",2,0,1,0,66.4706996019326,65.8824643078149,79.293120443436,0.00209036850866284,FALSE,27.0528811904312,FALSE
"SARMA(3,0)(1,0)[4]",3,0,1,0,68.062748001467,67.2310648331502,83.3238521958955,0.00185960975761479,FALSE,28.6449295899656,FALSE
"SARMA(2,1)(1,0)[4]",2,1,1,0,70.0659843293676,69.2343011610508,85.3270885237961,0.00064787202949601,FALSE,30.6481659178663,FALSE
"SARMA(1,1)(1,0)[4]",1,1,1,0,75.1596856930568,74.5714503989392,87.9821065345603,0.000496710637119091,FALSE,35.7418672815555,FALSE
"SARMA(1,2)(1,0)[4]",1,2,1,0,77.3663813753634,76.5346982070466,92.6274855697919,0.000217416023493122,FALSE,37.9485629638621,FALSE
"SARMA(3,1)(0,0)[4]",3,1,0,0,81.4192420305545,80.5875588622377,96.680346224983,0.000857522500750441,FALSE,42.0014236190531,FALSE
"SARMA(1,0)(0,1)[4]",1,0,0,1,87.9932343028228,87.6048847882597,98.3334096967566,9.66493551857184e-12,FALSE,48.5754158913214,FALSE
"SARMA(1,0)(1,1)[4]",1,0,1,1,88.3766758920654,87.7884405979477,101.199096733569,4.55307902491597e-10,FALSE,48.958857480564,FALSE
"SARMA(0,3)(0,0)[4]",0,3,0,0,88.7046174019805,88.1163821078628,101.527038243484,6.76497624585437e-09,FALSE,49.2867989904791,FALSE
"SARMA(0,3)(1,0)[4]",0,3,1,0,89.0579967596011,88.2263135912843,104.31910095403,2.93679214280473e-09,FALSE,49.6401783480997,FALSE
"SARMA(0,3)(0,1)[4]",0,3,0,1,89.8121401922117,88.9804570238949,105.07324438664,1.37939916711183e-07,FALSE,50.3943217807104,FALSE
"SARMA(1,1)(0,0)[4]",1,1,0,0,90.4239326962117,90.0355831816486,100.764108090145,0.000958863238559315,FALSE,51.0061142847103,FALSE
"SARMA(2,0)(0,0)[4]",2,0,0,0,90.9627808302694,90.5744313157062,101.302956224203,0.000372729493857582,FALSE,51.544962418768,FALSE
"SARMA(2,1)(0,0)[4]",2,1,0,0,91.0893222281721,90.5010869340544,103.911743069676,0.00120966934600975,FALSE,51.6715038166707,FALSE
"SARMA(2,2)(0,0)[4]",2,2,0,0,91.1163966577992,90.2847134894824,106.377500852228,0.000716749649816162,FALSE,51.6985782462978,FALSE
"SARMA(1,2)(0,0)[4]",1,2,0,0,91.8710514768706,91.282816182753,104.693472318374,0.000980425990391609,FALSE,52.4532330653693,FALSE
"SARMA(3,0)(0,0)[4]",3,0,0,0,92.9313673223552,92.3431320282375,105.753788163859,0.000232162598933883,FALSE,53.5135489108538,FALSE
"SARMA(1,0)(1,0)[4]",1,0,1,0,119.344375346772,118.956025832208,129.684550740705,1.42330591756945e-13,FALSE,79.9265569352702,FALSE
"SARMA(1,0)(0,0)[4]",1,0,0,0,134.075759615605,133.844990384836,141.891384066209,7.28650251247132e-10,FALSE,94.6579412041039,FALSE
