"model","p","q","P","Q","AICc","AIC","BIC","Ljung_Box_p_value","residual_check_passed","delta_AICc","selected"
"SARMA(1,2)(0,1)[4]",1,2,0,1,-491.275343873203,-492.10702704152,-476.014239678775,0.00865963861411645,FALSE,0,FALSE
"SARMA(3,1)(0,0)[4]",3,1,0,0,-489.307783860869,-490.139467029186,-474.046679666441,0.0517633277971478,TRUE,1.96756001233393,TRUE
"SARMA(2,2)(0,0)[4]",2,2,0,0,-489.178976424862,-490.010659593179,-473.917872230433,0.175313996186165,TRUE,2.09636744834165,FALSE
"SARMA(1,3)(0,0)[4]",1,3,0,0,-488.708842840867,-489.540526009184,-473.447738646439,0.143554611910104,TRUE,2.56650103233619,FALSE
"SARMA(3,0)(0,1)[4]",3,0,0,1,-488.606993864897,-489.438677033214,-473.345889670469,0.0308767168873777,FALSE,2.66835000830633,FALSE
"SARMA(2,0)(1,1)[4]",2,0,1,1,-487.826940069719,-488.658623238036,-472.56583587529,0.0806274268156151,TRUE,3.44840380348444,FALSE
"SARMA(1,1)(1,1)[4]",1,1,1,1,-487.743501009122,-488.575184177438,-472.482396814693,0.142624404620145,TRUE,3.5318428640818,FALSE
"SARMA(1,2)(0,0)[4]",1,2,0,0,-486.926165627633,-487.51440092175,-474.103744786129,0.0378371461814183,FALSE,4.34917824557067,FALSE
"SARMA(2,1)(0,1)[4]",2,1,0,1,-486.699338692885,-487.531021861202,-471.438234498457,0.0361053805137929,FALSE,4.57600518031791,FALSE
"SARMA(1,2)(1,0)[4]",1,2,1,0,-486.413794847596,-487.245478015913,-471.152690653167,0.0127424934745791,FALSE,4.86154902560747,FALSE
"SARMA(2,0)(0,1)[4]",2,0,0,1,-485.385922888421,-485.974158182539,-472.563502046918,0.027439790776104,FALSE,5.88942098478196,FALSE
"SARMA(3,0)(0,0)[4]",3,0,0,0,-485.304430077518,-485.892665371635,-472.482009236014,0.0151711541979068,FALSE,5.97091379568576,FALSE
"SARMA(1,1)(0,1)[4]",1,1,0,1,-485.262914549289,-485.851149843407,-472.440493707786,0.074326408255036,TRUE,6.01242932391403,FALSE
"SARMA(3,0)(1,0)[4]",3,0,1,0,-484.492562488197,-485.324245656513,-469.231458293768,0.0108678321462609,FALSE,6.78278138500673,FALSE
"SARMA(0,3)(0,0)[4]",0,3,0,0,-484.10815341578,-484.696388709898,-471.285732574277,0.0131934622230454,FALSE,7.16719045742309,FALSE
"SARMA(0,3)(0,1)[4]",0,3,0,1,-482.517604723056,-483.349287891373,-467.256500528628,0.0194836152782615,FALSE,8.75773915014713,FALSE
"SARMA(0,3)(1,0)[4]",0,3,1,0,-482.11346655766,-482.945149725976,-466.852362363231,0.0102731562897845,FALSE,9.16187731554385,FALSE
"SARMA(2,1)(1,0)[4]",2,1,1,0,-480.43138281303,-481.263065981346,-465.170278618601,0.00859738447897451,FALSE,10.8439610601738,FALSE
"SARMA(2,1)(0,0)[4]",2,1,0,0,-479.821924888775,-480.410160182892,-466.999504047271,0.0099384553731795,FALSE,11.4534189844286,FALSE
"SARMA(2,0)(1,0)[4]",2,0,1,0,-479.598672523454,-480.186907817572,-466.77625168195,0.00726910428908523,FALSE,11.6766713497494,FALSE
"SARMA(2,0)(0,0)[4]",2,0,0,0,-478.782010188821,-479.170359703384,-468.441834794887,0.00670900957909526,FALSE,12.4933336843822,FALSE
"SARMA(1,1)(1,0)[4]",1,1,1,0,-478.050015416179,-478.638250710296,-465.227594574675,0.00903852164081376,FALSE,13.2253284570246,FALSE
"SARMA(1,1)(0,0)[4]",1,1,0,0,-476.737378372193,-477.125727886756,-466.397202978259,0.00537487175562545,FALSE,14.5379655010101,FALSE
"SARMA(0,2)(0,1)[4]",0,2,0,1,-474.118536383426,-474.706771677544,-461.296115541923,0.011802114744482,FALSE,17.1568074897768,FALSE
"SARMA(0,2)(1,1)[4]",0,2,1,1,-473.758244953377,-474.589928121694,-458.497140758948,0.0055406834673315,FALSE,17.5170989198266,FALSE
"SARMA(0,2)(0,0)[4]",0,2,0,0,-472.467640866664,-472.855990381227,-462.12746547273,0.000483364903681061,FALSE,18.8077030065393,FALSE
"SARMA(0,2)(1,0)[4]",0,2,1,0,-471.896263895467,-472.484499189584,-459.073843053963,0.00183648527546132,FALSE,19.3790799777366,FALSE
"SARMA(1,0)(1,1)[4]",1,0,1,1,-470.721183253793,-471.30941854791,-457.898762412289,0.00525433648121088,FALSE,20.5541606194108,FALSE
"SARMA(1,0)(0,1)[4]",1,0,0,1,-469.309301579797,-469.69765109436,-458.969126185863,0.00650203515773451,FALSE,21.9660422934066,FALSE
"SARMA(1,0)(0,0)[4]",1,0,0,0,-466.754578728459,-466.985347959228,-458.938954277856,0.00123474183366401,FALSE,24.5207651447441,FALSE
"SARMA(1,0)(1,0)[4]",1,0,1,0,-466.266548819236,-466.654898333799,-455.926373425302,0.0014438046683124,FALSE,25.0087950539677,FALSE
"SARMA(0,1)(0,0)[4]",0,1,0,0,-459.971388758176,-460.202157988945,-452.155764307572,3.14120363666959e-05,FALSE,31.3039551150277,FALSE
"SARMA(0,1)(1,1)[4]",0,1,1,1,-458.083309623251,-458.671544917369,-445.260888781748,2.44764162815603e-06,FALSE,33.1920342499523,FALSE
"SARMA(0,1)(0,1)[4]",0,1,0,1,-457.816473648621,-458.204823163184,-447.476298254687,1.37434830443928e-05,FALSE,33.4588702245826,FALSE
"SARMA(0,1)(1,0)[4]",0,1,1,0,-457.815246450241,-458.203595964804,-447.475071056308,1.42323940627298e-05,FALSE,33.460097422962,FALSE
"SARMA(0,0)(1,1)[4]",0,0,1,1,-452.238418537539,-452.626768052102,-441.898243143605,8.01172561626373e-08,FALSE,39.0369253356645,FALSE
"SARMA(0,0)(0,1)[4]",0,0,0,1,-452.004454969203,-452.235224199973,-444.1888305186,1.55560380243891e-07,FALSE,39.2708889039999,FALSE
"SARMA(0,0)(0,0)[4]",0,0,0,0,-451.21695269684,-451.331238411126,-445.966975956878,1.91604510035859e-11,FALSE,40.058391176363,FALSE
"SARMA(0,0)(1,0)[4]",0,0,1,0,-450.881530724427,-451.112299955196,-443.065906273823,4.88411389110155e-09,FALSE,40.3938131487765,FALSE
